"Time","Potential"
0.00,50.6
1.60,50.1
3.20,50.6
4.80,51.2
6.40,50.6
8.00,51.2
9.60,51.2
11.20,51.2
12.80,51.2
14.40,51.2
16.00,50.6
17.60,50.1
19.20,50.6
20.80,51.2
22.40,51.2
24.00,51.9
25.60,51.9
27.20,51.2
28.80,51.2
30.40,50.1
32.00,50.6
33.60,51.2
35.20,51.2
36.80,52.4
38.40,51.2
40.00,51.2
41.60,51.2
43.20,51.2
44.80,51.2
46.40,51.9
48.00,51.9
49.60,51.9
51.20,51.2
52.80,51.2
54.40,50.6
56.00,51.2
57.60,50.6
59.20,51.2
60.80,51.9
62.40,51.9
64.00,51.2
65.60,50.6
67.20,51.2
68.80,51.2
70.40,51.2
72.00,50.6
73.60,51.2
75.20,51.2
76.80,51.2
78.40,50.1
80.00,50.6
81.60,50.6
83.20,50.6
84.80,50.6
86.40,50.1
88.00,50.6
89.60,49.4
91.20,50.1
92.80,49.4
94.40,50.1
96.00,50.1
97.60,50.1
99.20,50.1
100.80,50.6
102.40,50.1
104.00,48.8
105.60,49.4
107.20,49.4
108.80,50.1
110.40,50.1
112.00,50.1
113.60,50.1
115.20,50.1
116.80,49.4
118.40,49.4
120.00,50.1
121.60,50.1
123.20,49.4
124.80,50.1
126.40,50.1
128.00,50.1
129.60,49.4
131.20,49.4
132.80,49.4
134.40,47.6
136.00,47.6
137.60,47.6
139.20,47.0
140.80,47.0
142.40,46.5
144.00,46.5
145.60,46.5
147.20,46.5
148.80,46.5
150.40,47.0
152.00,47.0
153.60,46.5
155.20,47.0
156.80,47.0
158.40,47.0
160.00,47.6
161.60,48.3
163.20,47.6
164.80,47.6
166.40,47.6
168.00,46.5
169.60,47.6
171.20,48.3
172.80,48.3
174.40,49.4
176.00,48.8
177.60,48.8
179.20,48.3
180.80,48.3
182.40,48.3
184.00,49.4
185.60,50.1
187.20,50.1
188.80,48.8
190.40,48.8
192.00,49.4
193.60,50.1
195.20,49.4
196.80,50.6
198.40,50.6
200.00,49.4
201.60,48.3
203.20,46.5
204.80,49.4
206.40,50.1
208.00,50.6
209.60,51.2
211.20,51.2
212.80,51.2
214.40,50.6
216.00,50.6
217.60,50.6
219.20,50.6
220.80,50.6
222.40,50.6
224.00,51.2
225.60,50.6
227.20,50.6
228.80,51.2
230.40,51.2
232.00,50.6
233.60,50.6
235.20,51.9
236.80,51.2
238.40,51.2
240.00,51.2
241.60,51.9
243.20,51.9
244.80,51.9
246.40,51.9
248.00,52.4
249.60,51.9
251.20,51.9
252.80,52.4
254.40,51.9
256.00,51.9
257.60,51.9
259.20,52.4
260.80,52.4
262.40,52.4
264.00,53.0
265.60,51.9
267.20,51.9
268.80,51.9
270.40,52.4
272.00,52.4
273.60,52.4
275.20,51.9
276.80,52.4
278.40,52.4
280.00,52.4
281.60,51.9
283.20,52.4
284.80,51.9
286.40,52.4
