"Time","Potential"
0.0,54.8
1.6,54.8
3.2,54.8
4.8,53.7
6.4,54.8
8.0,54.8
9.6,54.8
11.2,54.2
12.8,53.7
14.4,53.7
16.0,53.0
17.6,53.7
19.2,53.0
20.8,53.7
22.4,53.0
24.0,53.0
25.6,53.0
27.2,52.4
28.8,53.0
30.4,52.4
32.0,52.4
33.6,53.0
35.2,53.7
36.8,53.7
38.4,53.0
40.0,53.0
41.6,53.0
43.2,53.7
44.8,54.8
46.4,54.8
48.0,54.8
49.6,53.7
51.2,51.9
52.8,53.0
54.4,54.2
56.0,54.2
57.6,54.8
59.2,54.2
60.8,54.2
62.4,54.2
64.0,53.7
65.6,54.2
67.2,54.2
68.8,54.2
70.4,54.2
72.0,54.2
73.6,53.7
75.2,53.7
76.8,53.0
78.4,53.0
80.0,53.0
81.6,53.0
83.2,52.4
84.8,53.0
86.4,53.0
88.0,52.4
89.6,52.4
91.2,53.0
92.8,53.0
94.4,52.4
96.0,51.9
97.6,52.4
99.2,53.0
100.8,52.4
102.4,52.4
104.0,53.0
105.6,52.4
107.2,53.7
108.8,53.7
110.4,54.2
112.0,53.7
113.6,52.4
115.2,53.0
116.8,53.7
118.4,53.7
120.0,53.0
121.6,53.0
123.2,53.7
124.8,53.7
126.4,54.2
128.0,54.2
129.6,53.7
131.2,54.2
132.8,54.2
134.4,53.7
136.0,53.7
137.6,54.2
139.2,54.8
140.8,54.2
142.4,54.2
144.0,53.7
145.6,53.7
147.2,53.7
148.8,54.2
150.4,54.2
152.0,54.2
153.6,53.7
155.2,53.7
156.8,54.2
158.4,54.2
160.0,53.7
161.6,53.0
163.2,54.8
164.8,56.6
166.4,57.3
168.0,57.8
169.6,57.3
171.2,56.0
172.8,54.8
174.4,55.5
176.0,57.3
177.6,60.2
179.2,63.2
180.8,65.0
182.4,65.0
184.0,65.6
185.6,65.6
187.2,67.4
188.8,69.2
190.4,72.8
192.0,75.2
193.6,76.4
195.2,77.0
196.8,77.6
198.4,78.8
200.0,81.2
201.6,83.6
203.2,87.2
204.8,89.0
206.4,90.8
208.0,92.0
209.6,92.0
211.2,93.8
212.8,96.2
214.4,99.2
216.0,102.8
217.6,104.6
219.2,105.8
220.8,106.4
222.4,108.2
224.0,109.4
225.6,111.8
227.2,114.8
228.8,117.8
230.4,119.6
232.0,120.8
233.6,122.0
235.2,122.6
236.8,125.0
238.4,125.6
240.0,128.6
241.6,131.0
243.2,132.2
244.8,132.8
246.4,133.4
248.0,134.6
249.6,134.6
251.2,136.4
252.8,137.6
254.4,138.8
256.0,140.0
257.6,140.0
259.2,140.0
260.8,140.0
262.4,140.0
264.0,140.6
265.6,141.2
267.2,141.8
268.8,141.8
270.4,141.2
272.0,140.0
273.6,138.2
275.2,138.2
276.8,138.2
278.4,138.8
280.0,139.4
281.6,138.2
283.2,136.4
284.8,134.6
286.4,132.8
288.0,132.8
289.6,132.2
291.2,131.6
292.8,131.0
294.4,128.6
296.0,126.8
297.6,125.0
299.2,123.2
300.8,121.4
302.4,120.8
304.0,120.2
305.6,118.4
307.2,117.2
308.8,114.8
310.4,113.0
312.0,111.2
313.6,110.0
315.2,108.8
316.8,107.0
318.4,105.8
320.0,103.4
321.6,101.6
323.2,99.8
324.8,97.4
326.4,96.8
328.0,94.4
329.6,93.8
331.2,92.6
332.8,90.2
334.4,88.4
336.0,86.6
337.6,85.4
