phase, res_volt, inp_volt, phase_err, res_err, inp_err, infrq,   inferr, outfreq, outfreqerr,
-4.0,  0.0268,   0.089,    2.0,       0.004,   0.004,   194500,  100,    195300,  1000,
1.83,  0.0272,   0.0936,   2.0,       0.004,   0.004,   190500,  100,    190900,  1000,
0.5,   0.0272,   0.0936,   2.0,       0.004,   0.004,   191300,  100,    190800,  1000,
-0.5,  0.0272,   0.0900,   3.0,       0.004,   0.005,   192300,  100,    192300,  1000,
-2.3,  0.0264,   0.0945,   2.0,       0.004,   0.004,   193000,  100,    191900,  1000,
-3.4,  0.0276,   0.0936,   1.0,       0.001,   0.001,   194000,  100,    193200,  1000,
2.0,   0.0264,   0.0944,   2.0,       0.002,   0.002,   191500,  100,    191000,  2000,
0.0,   0.0264,   0.0920,   2.0,       0.001,   0.002,   192600,  100,    192500,  1000,
-11.0, 0.0276,   0.0944,   2.0,       0.001,   0.002,   200400,  100,    200000,  2000,
15.4,  0.0252,   0.0920,   3.0,       0.001,   0.003,   185000,  100,    185000,  2000,
90.0,  0.0052,   0.0850,   1.0,       0.001,   0.005,   98700,   100,    100000,  10000,  
81.0,  0.0064,   0.0880,   5.0,       0.002,   0.003,   120200,  100,    120100,  2000,
72.9,  0.00848,  0.0920,   10,        0.003,   0.004,   141500,  100,    140800,  1000,
-81.0, 0.0108,   0.0880,   2.0,       0.001,   0.002,   307000,  100,    580000,  200000,
-51.0, 0.0208,   0.0920,   2.0,       0.004,   0.002,   235000,  100,    235000,  1000,
-20.0, 0.0300,   0.0900,   1.0,       0.005,   0.002,   215000,  100,    215000,  500,
